id,O23I,O28L,O53I,O58L,O98AI,O83I,O88L,C05SE,O113I,O118L,LibSum,IntSum,iv_se,iv_ai,iv_comb
4,4,2,4,5,4,5,2,3,4,2,11,17,low,medium,"low, medium"
5,2,4,4,3,5,3,4,2,4,5,16,13,low,high,"low, high"
8,2,3,4,3,1,2,2,2,2,3,11,10,low,low,"low, low"
9,2,2,1,2,1,1,2,5,1,2,8,5,high,low,"high, low"
10,3,3,4,4,3,4,2,5,4,4,13,15,high,medium,"high, medium"
11,2,3,2,2,2,2,3,2,2,2,10,8,low,medium,"low, medium"
13,2,3,2,2,1,2,2,2,2,3,10,8,low,low,"low, low"
18,4,3,3,2,2,4,3,5,4,2,10,15,high,medium,"high, medium"
19,2,3,2,1,1,2,3,2,4,3,10,10,low,low,"low, low"
20,3,4,5,4,5,2,5,1,4,4,17,14,low,high,"low, high"
21,2,1,2,1,2,3,1,5,2,2,5,9,high,medium,"high, medium"
22,4,4,4,2,5,4,3,5,4,3,12,16,high,high,"high, high"
23,2,2,2,3,2,2,3,5,2,1,9,8,high,high,"high, high"
24,3,3,2,3,2,3,3,5,2,3,12,10,high,medium,"high, medium"
25,4,4,5,2,4,4,4,4,5,3,13,18,high,high,"high, high"
26,5,2,2,4,1,5,1,5,5,1,8,17,high,low,"high, low"
27,3,4,4,4,5,3,4,1,4,3,15,14,low,medium,"low, medium"
28,4,3,5,4,3,5,3,5,5,3,13,19,high,medium,"high, medium"
29,3,4,4,3,5,3,3,4,3,3,13,13,high,high,"high, high"
30,4,4,5,4,5,5,5,1,4,3,16,18,low,high,"low, high"
31,2,1,2,2,1,2,1,5,4,1,5,10,high,medium,"high, medium"
32,4,2,3,2,1,2,5,3,4,4,13,13,low,low,"low, low"
34,3,3,4,3,4,3,4,2,3,3,13,13,low,medium,"low, medium"
35,2,3,4,4,2,5,3,5,4,3,13,15,low,low,"low, low"
36,2,3,2,2,5,5,3,5,4,3,11,13,high,low,"high, low"
37,5,4,5,4,5,5,5,5,5,3,16,20,high,medium,"high, medium"
38,2,2,2,4,3,2,3,3,2,5,14,8,low,medium,"low, medium"
39,3,3,1,1,1,3,3,5,3,1,8,10,high,medium,"high, medium"
41,2,3,2,2,1,2,3,1,2,3,11,8,low,low,"low, low"
42,2,3,5,4,4,4,4,5,2,3,14,13,high,high,"high, high"
43,2,3,2,3,3,3,3,2,3,3,12,10,low,medium,"low, medium"
44,2,3,3,3,3,2,3,2,2,2,11,9,low,medium,"low, medium"
46,2,5,5,4,5,4,5,2,2,4,18,13,low,high,"low, high"
48,5,3,3,4,1,2,3,5,4,2,12,14,high,low,"high, low"
49,1,3,3,3,3,1,3,2,2,3,12,7,low,medium,"low, medium"
50,2,4,2,5,3,4,4,2,2,4,17,10,low,medium,"low, medium"
51,5,3,2,2,2,5,3,5,4,3,11,16,high,low,"high, low"
52,4,3,4,3,2,4,3,2,4,2,11,16,low,low,"low, low"
53,1,1,1,2,1,2,1,5,2,2,6,6,high,low,"high, low"
54,2,4,5,5,5,2,2,1,1,5,16,10,low,high,"low, high"
55,2,3,3,2,3,2,3,2,2,3,11,9,low,medium,"low, medium"
57,5,2,1,1,1,1,2,5,4,1,6,11,high,low,"high, low"
58,4,3,2,2,1,2,3,5,5,3,11,13,high,low,"high, low"
59,2,2,2,3,2,2,3,2,2,3,11,8,low,medium,"low, medium"
60,4,3,3,3,3,5,3,5,4,3,12,16,high,medium,"high, medium"
61,1,2,2,2,1,2,1,2,2,2,7,7,low,low,"low, low"
62,5,1,4,3,3,2,1,2,4,3,8,15,low,medium,"low, medium"
63,4,2,2,5,2,4,2,4,2,2,11,12,low,low,"low, low"
64,2,3,5,4,5,5,3,5,4,2,12,16,high,high,"high, high"
66,1,3,2,1,1,2,3,2,2,3,10,7,low,medium,"low, medium"
67,2,2,1,2,3,4,2,5,4,2,8,11,high,medium,"high, medium"
68,5,2,3,4,4,5,3,5,2,3,12,15,high,medium,"high, medium"
69,5,4,5,5,5,4,4,5,5,4,17,19,high,high,"high, high"
70,4,2,2,2,5,4,3,4,4,2,9,14,high,high,"high, high"
71,4,4,4,4,5,4,4,2,4,3,15,16,low,medium,"low, medium"
72,4,4,3,2,1,3,4,5,3,3,13,13,high,high,"high, high"
74,2,3,2,4,3,2,3,4,2,3,13,8,low,medium,"low, medium"
75,4,2,4,4,1,2,2,4,4,2,10,14,low,low,"low, low"
76,1,3,2,4,2,2,3,2,2,4,14,7,low,medium,"low, medium"
77,1,2,2,2,1,1,3,2,4,2,9,8,low,low,"low, low"
78,1,3,2,4,1,2,3,1,2,3,13,7,low,medium,"low, medium"
80,2,2,2,4,1,2,2,2,2,2,10,8,low,low,"low, low"
81,2,3,1,5,2,2,3,2,3,3,14,8,low,medium,"low, medium"
82,4,4,4,4,5,3,4,5,4,3,15,15,high,high,"high, high"
83,4,2,2,2,2,3,2,5,3,2,8,12,high,medium,"high, medium"
84,2,3,2,2,1,2,3,2,2,3,11,8,low,low,"low, low"
85,3,2,1,2,1,4,2,5,2,2,8,10,high,low,"high, low"
86,2,2,2,3,2,3,3,5,2,3,11,9,high,medium,"high, medium"
87,3,3,3,3,5,3,3,3,3,3,12,12,low,high,"low, high"
88,3,2,2,1,1,3,2,5,2,3,8,10,high,low,"high, low"
89,2,3,2,4,2,4,2,5,2,2,11,10,high,medium,"high, medium"
90,1,2,1,3,1,5,4,5,1,3,12,8,high,low,"high, low"
93,2,2,1,1,1,2,1,2,1,2,6,6,low,low,"low, low"
94,5,4,5,5,5,5,4,2,5,4,17,20,low,high,"low, high"
95,1,2,1,2,1,2,2,2,4,3,9,8,low,low,"low, low"
96,4,2,4,2,1,4,2,4,2,1,7,14,high,high,"high, high"
98,2,2,2,2,2,1,2,1,2,4,10,7,low,medium,"low, medium"
99,4,3,5,1,5,4,3,5,5,3,10,18,high,high,"high, high"
100,4,3,3,3,3,5,2,5,3,3,11,15,high,medium,"high, medium"
101,4,4,2,4,1,4,4,1,4,3,15,14,low,low,"low, low"
104,1,2,1,3,2,2,2,1,1,2,9,5,low,medium,"low, medium"
105,2,4,4,4,5,4,4,2,2,4,16,12,low,high,"low, high"
108,2,4,4,4,4,2,4,1,2,3,15,10,low,high,"low, high"
109,2,1,1,1,1,3,2,5,2,2,6,8,low,low,"low, low"
110,3,3,1,1,1,1,2,4,2,3,9,7,high,low,"high, low"
112,3,4,4,4,5,3,4,2,2,5,17,12,low,high,"low, high"
113,5,4,4,2,5,3,3,5,4,2,11,16,high,medium,"high, medium"
114,4,4,5,4,5,5,5,5,4,1,14,18,high,high,"high, high"
116,4,2,1,2,1,1,1,5,5,2,7,11,high,low,"high, low"
117,4,4,4,5,5,2,5,3,1,4,18,11,low,high,"low, high"
118,4,3,3,3,5,4,4,5,3,3,13,14,high,high,"high, high"
119,5,1,1,1,1,5,1,2,1,1,4,12,high,low,"high, low"
120,1,2,2,1,1,2,3,1,2,2,8,7,low,low,"low, low"
123,1,1,1,1,2,1,2,3,2,1,5,5,low,low,"low, low"
124,1,4,2,4,5,5,4,2,2,4,16,10,low,high,"low, high"
125,1,1,1,3,5,5,3,5,3,3,10,10,low,medium,"low, medium"
126,2,3,2,4,3,2,3,4,4,4,14,10,low,medium,"low, medium"
129,4,3,4,2,5,2,3,5,3,3,11,13,low,high,"low, high"
130,2,2,1,1,2,2,2,4,1,2,7,6,high,medium,"high, medium"
131,4,4,4,5,3,2,2,4,4,2,13,14,low,low,"low, low"
132,2,2,1,4,1,1,2,2,2,3,11,6,low,low,"low, low"
134,5,4,5,4,5,5,5,5,3,3,16,18,high,high,"high, high"
135,4,4,1,3,4,4,2,4,4,4,13,13,high,high,"high, high"
136,5,4,5,4,5,3,4,5,4,4,16,17,high,high,"high, high"
138,3,2,4,4,5,1,4,1,2,3,13,10,low,high,"low, high"
139,1,2,2,1,1,2,2,5,5,1,6,10,low,low,"low, low"
141,4,4,5,4,5,4,4,3,4,4,16,17,low,medium,"low, medium"
142,1,1,2,2,1,2,1,2,1,2,6,6,low,low,"low, low"
143,4,4,4,4,4,4,4,4,4,3,15,16,high,low,"high, low"
144,4,4,4,4,2,5,4,4,2,3,15,15,high,medium,"high, medium"
145,2,5,5,4,5,1,5,2,2,4,18,10,low,low,"low, low"
146,2,2,2,4,1,1,2,5,1,3,11,6,high,medium,"high, medium"
148,4,3,4,4,3,5,4,4,2,3,14,15,low,low,"low, low"
